The Verifier - November 2020. Data as of December 7, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"0100100000","Alabama","Autauga County","41088","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100300000","Alabama","Baldwin County","165925","52","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100500000","Alabama","Barbour County","16827","18","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100700000","Alabama","Bibb County","14370","10","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100900000","Alabama","Blount County","40432","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101100000","Alabama","Bullock County","6977","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101300000","Alabama","Butler County","13881","24","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101500000","Alabama","Calhoun County","76683","46","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101700000","Alabama","Chambers County","24799","18","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101900000","Alabama","Cherokee County","18622","25","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102100000","Alabama","Chilton County","27969","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102300000","Alabama","Choctaw County","10341","34","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102500000","Alabama","Clarke County","18640","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102700000","Alabama","Clay County","9945","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102900000","Alabama","Cleburne County","10589","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103100000","Alabama","Coffee County","34436","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103300000","Alabama","Colbert County","41977","36","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103500000","Alabama","Conecuh County","9670","29","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103700000","Alabama","Coosa County","7937","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103900000","Alabama","Covington County","26671","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104100000","Alabama","Crenshaw County","10082","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104300000","Alabama","Cullman County","59713","51","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104500000","Alabama","Dale County","33233","21","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104700000","Alabama","Dallas County","29939","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104900000","Alabama","DeKalb County","43262","46","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105100000","Alabama","Elmore County","58217","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105300000","Alabama","Escambia County","25618","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105500000","Alabama","Etowah County","72712","33","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105700000","Alabama","Fayette County","12573","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105900000","Alabama","Franklin County","19303","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106100000","Alabama","Geneva County","18917","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106300000","Alabama","Greene County","6701","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106500000","Alabama","Hale County","11891","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106700000","Alabama","Henry County","13418","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106900000","Alabama","Houston County","74275","29","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107100000","Alabama","Jackson County","37461","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107300000","Alabama","Jefferson County","481532","175","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107500000","Alabama","Lamar County","10465","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107700000","Alabama","Lauderdale County","63953","33","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107900000","Alabama","Lawrence County","24597","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108100000","Alabama","Lee County","115214","24","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108300000","Alabama","Limestone County","69002","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108500000","Alabama","Lowndes County","9767","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108700000","Alabama","Macon County","15581","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108900000","Alabama","Madison County","280583","75","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109100000","Alabama","Marengo County","15164","21","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109300000","Alabama","Marion County","20652","22","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109500000","Alabama","Marshall County","61712","30","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109700000","Alabama","Mobile County","287213","87","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109900000","Alabama","Monroe County","15846","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110100000","Alabama","Montgomery County","155858","51","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110300000","Alabama","Morgan County","82693","41","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110500000","Alabama","Perry County","7758","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110700000","Alabama","Pickens County","13860","21","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110900000","Alabama","Pike County","21457","35","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111100000","Alabama","Randolph County","17336","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111300000","Alabama","Russell County","38539","19","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111700000","Alabama","Shelby County","158406","45","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111500000","Alabama","St. Clair County","65517","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111900000","Alabama","Sumter County","9007","15","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112100000","Alabama","Talladega County","56288","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112300000","Alabama","Tallapoosa County","30201","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112500000","Alabama","Tuscaloosa County","139248","56","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112700000","Alabama","Walker County","46638","47","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112900000","Alabama","Washington County","12990","21","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0113100000","Alabama","Wilcox County","8795","36","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0113300000","Alabama","Winston County","16422","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0200000000","Alaska","Alaska","595647","441","Assigned Polling Place","No","Hand marked paper ballots, BMDs and DREs with VVPAT","Hand Count, Optical Scan, and DRE",
"6000000000","American Samoa","American Samoa","16341","41","Assigned Polling Place","No","Hand marked paper ballots, No accessible equipment","Hand Count",
"0400100000","Arizona","Apache County","51906","44","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0400300000","Arizona","Cochise County","82022","49","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0400500000","Arizona","Coconino County","90669","71","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0400700000","Arizona","Gila County","34001","39","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0400900000","Arizona","Graham County","19851","22","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401100000","Arizona","Greenlee County","4866","8","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401200000","Arizona","La Paz County","10909","11","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401300000","Arizona","Maricopa County","2595272","748","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401500000","Arizona","Mohave County","135180","24","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401700000","Arizona","Navajo County","70650","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401900000","Arizona","Pima County","632932","249","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0402100000","Arizona","Pinal County","248874","102","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0402300000","Arizona","Santa Cruz County","29963","24","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0402500000","Arizona","Yavapai County","165361","45","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0402700000","Arizona","Yuma County","103273","44","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0500100000","Arkansas","Arkansas County","7071","30","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500300000","Arkansas","Ashley County","8839","31","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500500000","Arkansas","Baxter County","23923","44","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500700000","Arkansas","Benton County","137993","117","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500900000","Arkansas","Boone County","18966","12","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501100000","Arkansas","Bradley County","4104","15","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501300000","Arkansas","Calhoun County","2472","21","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501500000","Arkansas","Carroll County","13587","32","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501700000","Arkansas","Chicot County","4896","13","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0501900000","Arkansas","Clark County","9703","27","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502100000","Arkansas","Clay County","6103","17","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502300000","Arkansas","Cleburne County","14597","35","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502500000","Arkansas","Cleveland County","4626","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0502700000","Arkansas","Columbia County","9467","14","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502900000","Arkansas","Conway County","9811","14","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503100000","Arkansas","Craighead County","44557","54","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503300000","Arkansas","Crawford County","27483","44","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503500000","Arkansas","Crittenden County","23777","43","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0503700000","Arkansas","Cross County","8097","22","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503900000","Arkansas","Dallas County","3121","9","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504100000","Arkansas","Desha County","6243","21","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504300000","Arkansas","Drew County","8068","17","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504500000","Arkansas","Faulkner County","61174","51","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504700000","Arkansas","Franklin County","7834","39","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504900000","Arkansas","Fulton County","6205","10","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505100000","Arkansas","Garland County","50233","56","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505300000","Arkansas","Grant County","8426","18","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505500000","Arkansas","Greene County","17604","39","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505700000","Arkansas","Hempstead County","7775","24","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505900000","Arkansas","Hot Spring County","13971","31","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
