The Verifier - November 2014. Data as of December 7, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"0100100000","Alabama","Autauga County","33203","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100300000","Alabama","Baldwin County","110024","46","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100500000","Alabama","Barbour County","15344","44","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100700000","Alabama","Bibb County","11769","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100900000","Alabama","Blount County","33534","29","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101100000","Alabama","Bullock County","7041","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101300000","Alabama","Butler County","12281","22","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101500000","Alabama","Calhoun County","66687","49","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101700000","Alabama","Chambers County","20895","58","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101900000","Alabama","Cherokee County","14553","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102100000","Alabama","Chilton County","25870","19","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102300000","Alabama","Choctaw County","9395","61","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102500000","Alabama","Clarke County","18447","48","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102700000","Alabama","Clay County","8498","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102900000","Alabama","Cleburne County","8884","15","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103100000","Alabama","Coffee County","28824","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103300000","Alabama","Colbert County","33943","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
