The Verifier - November 2008. Data as of December 7, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"0100100000","Alabama","Autauga County","32669","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100300000","Alabama","Baldwin County","104926","47","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100500000","Alabama","Barbour County","15653","46","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100700000","Alabama","Bibb County","11194","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100900000","Alabama","Blount County","30050","29","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101100000","Alabama","Bullock County","7160","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101300000","Alabama","Butler County","12644","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101500000","Alabama","Calhoun County","65217","49","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101700000","Alabama","Chambers County","20410","58","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101900000","Alabama","Cherokee County","13938","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102100000","Alabama","Chilton County","24779","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102300000","Alabama","Choctaw County","10588","61","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102500000","Alabama","Clarke County","17688","48","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102700000","Alabama","Clay County","9722","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102900000","Alabama","Cleburne County","9227","15","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103100000","Alabama","Coffee County","26684","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103300000","Alabama","Colbert County","33760","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103500000","Alabama","Conecuh County","9750","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103700000","Alabama","Coosa County","8008","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103900000","Alabama","Covington County","21301","25","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104100000","Alabama","Crenshaw County","8826","19","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104300000","Alabama","Cullman County","48013","49","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104500000","Alabama","Dale County","26028","19","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104700000","Alabama","Dallas County","30804","30","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104900000","Alabama","DeKalb County","34763","48","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105100000","Alabama","Elmore County","42656","42","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105300000","Alabama","Escambia County","20162","30","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105500000","Alabama","Etowah County","59213","41","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105700000","Alabama","Fayette County","10300","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105900000","Alabama","Franklin County","18370","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106100000","Alabama","Geneva County","14887","30","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106300000","Alabama","Greene County","7588","18","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106500000","Alabama","Hale County","11740","39","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106700000","Alabama","Henry County","11210","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
